episode,protein,stage,total_reward,final_energy,rmsd,steps,clashes,policy_loss,value_loss,entropy
89,1L2Y,1,73.54,543.0626,13.8011,50,2,0,0,0
90,1L2Y,1,112.64,33.066,13.9787,50,0,0,0,0
91,1L2Y,1,138.66,36.0235,22.937,50,2,-0.0026,5.7663,8.1267
92,1L2Y,1,146.12,46.1931,12.2798,50,1,0,0,0
93,1L2Y,1,98.4,46.5027,16.6465,50,1,0,0,0
94,1L2Y,1,103.76,256.2407,15.2841,50,0,0,0,0
95,1L2Y,1,113.12,49.2625,22.795,50,1,0,0,0
96,1L2Y,1,116.0,35.2234,13.7994,50,2,-0.0009,4.948,8.1266
97,1L2Y,1,102.64,234.5766,9.2732,50,2,0,0,0
98,1L2Y,1,155.22,37.8981,24.5779,50,0,0,0,0
99,1L2Y,1,126.3,115.6724,9.1393,50,2,0,0,0
100,1L2Y,1,127.8,35.7403,25.7246,50,0,0,0,0
101,1L2Y,1,120.28,136.8654,10.2677,50,1,-0.0061,5.3171,8.1265
102,1L2Y,1,146.5,30.2586,18.3769,50,0,0,0,0
103,1L2Y,1,99.22,35.6316,18.6661,50,1,0,0,0
104,1L2Y,1,160.58,33.9064,12.5286,50,3,0,0,0
105,1L2Y,1,21.46,150.0235,9.2554,28,5,0,0,0
106,1L2Y,1,106.94,46.1992,18.0759,50,0,0,0,0
107,1L2Y,1,122.48,347.9654,13.8825,50,0,-0.0068,5.5617,8.1262
108,1L2Y,1,181.0,35.2752,15.0404,50,1,0,0,0
109,1L2Y,1,97.42,29.7619,16.4751,50,0,0,0,0
110,1L2Y,1,128.18,48.4562,19.3559,50,1,0,0,0
111,1L2Y,1,142.64,38.0578,16.8497,50,0,0,0,0
112,1L2Y,1,122.3,44.5416,15.1333,50,1,-0.0116,7.4931,8.1258
113,1L2Y,1,133.78,31.4879,13.8318,50,0,0,0,0
114,1L2Y,1,87.02,42.9861,14.4982,50,1,0,0,0
115,1L2Y,1,135.34,55.1676,12.1022,50,0,0,0,0
116,1L2Y,1,143.5,27.5993,10.72,50,0,0,0,0
117,1L2Y,1,174.12,24.9144,12.8199,50,0,-0.0044,6.4627,8.1257
118,1L2Y,1,107.36,46.9173,21.5892,50,1,0,0,0
119,1L2Y,1,97.82,38.1496,23.3642,50,1,0,0,0
120,1L2Y,1,91.34,375.5733,9.2259,50,2,0,0,0
121,1L2Y,1,144.54,30.5995,18.8205,50,2,0,0,0
122,1L2Y,1,140.18,38.7575,17.852,50,1,-0.0072,6.869,8.1255
123,1L2Y,1,98.46,37.0387,11.0784,50,0,0,0,0
124,1L2Y,1,7.28,145.1558,10.3316,8,4,0,0,0
125,1L2Y,1,111.86,33.5618,17.477,50,1,0,0,0
126,1L2Y,1,134.1,32.9906,16.4973,50,2,0,0,0
127,1L2Y,1,-11.5,35.7379,26.0587,5,5,0,0,0
128,1L2Y,1,138.98,134.2901,19.7663,50,0,0,0,0
